"ID1","ID2","lat","long","el"
39698,"2005",58.5006,-120.9829,428.528686523438
39699,"2005",58.7133,-123.1538,573.280578613281
39700,"2005",59.5088,-122.0303,660.957763671875
39701,"2005",58.7667,-121.3832,510.604339599609
39702,"2005",58.6663,-122.8868,466.00634765625
39703,"2005",58.6938,-123.8035,1019.31811523438
39704,"2005",59.8631,-120.8863,544.239074707031
39705,"2005",58.3737,-122.9073,397.533538818359
39706,"2005",57.6994,-122.5105,728.399841308594
39707,"2005",58.759,-121.78,483.123474121094
39708,"2005",59.5229,-124.032,246.115539550781
39709,"2005",59.8275,-124.6562,406.657012939453
39710,"2005",57.5791,-122.7557,1152.01672363281
39711,"2005",58.8988,-122.2529,366.192016601562
39712,"2005",58.6805,-122.1178,432.369720458984
39713,"2005",58.4937,-120.2723,396.454040527344
39714,"2005",58.4813,-123.8835,853.846374511719
39715,"2005",58.6092,-123.6119,536.080139160156
39716,"2005",59.3031,-123.8689,432.97900390625
39717,"2005",59.8977,-123.596,465.231231689453
39718,"2005",59.4607,-123.3456,410.026580810547
39719,"2005",59.8026,-124.3274,280.999053955078
39720,"2005",57.219,-122.2919,997.88818359375
39721,"2005",57.591,-121.4596,713.518859863281
39722,"2005",58.1008,-121.2111,464.130493164062
39723,"2005",57.29,-121.9424,888.827819824219
39724,"2005",58.0224,-121.9147,613.102844238281
39725,"2005",58.9814,-124.1363,854.215393066406
39726,"2005",58.8359,-120.1625,358.771362304688
39727,"2005",57.6473,-122.8911,990.896057128906
39728,"2005",59.5519,-122.3555,655.392944335938
39729,"2005",57.9186,-122.7269,655.087158203125
39730,"2005",58.3865,-120.6247,425.862335205078
39731,"2005",59.2912,-121.3566,668.031311035156
39732,"2005",58.9076,-124.5929,713.802795410156
39733,"2005",59.1439,-121.1963,629.839111328125
39734,"2005",59.2758,-121.8282,565.015075683594
39735,"2005",59.8451,-122.6136,485.092376708984
39736,"2005",58.1482,-123.6733,792.587158203125
39737,"2005",56.946,-120.6859,730.098876953125
39738,"2005",59.1368,-123.5917,659.003845214844
39739,"2005",58.4412,-122.8515,405.827484130859
39740,"2005",57.7141,-120.2644,666.395935058594
39741,"2005",58.9513,-121.0333,612.046813964844
39742,"2005",58.2839,-121.7012,345.979064941406
39743,"2005",59.2682,-120.8903,627.727111816406
39744,"2005",58.5245,-120.0089,401.877899169922
39745,"2005",59.1924,-123.5747,341.686157226562
39746,"2005",58.9821,-123.3893,563.471618652344
39747,"2005",57.7362,-120.0741,775.252258300781
39748,"2005",58.3726,-122.4818,581.662841796875
39749,"2005",59.0831,-124.8782,789.819641113281
39750,"2005",58.7569,-122.3321,393.908752441406
39751,"2005",57.1836,-122.1305,945.198486328125
39752,"2005",59.6016,-122.0944,618.5458984375
39753,"2005",57.3654,-120.3121,873.148803710938
39754,"2005",58.8363,-120.2646,352.197387695312
39755,"2005",58.9289,-122.6312,393.231292724609
39756,"2005",58.9214,-123.4479,516.317199707031
39757,"2005",59.3721,-122.3193,523.879150390625
39758,"2005",57.2438,-121.0145,796.402038574219
39759,"2005",57.4868,-122.2421,978.974914550781
39760,"2005",59.9828,-123.8518,234.675430297852
39761,"2005",57.9027,-122.8267,721.738037109375
39762,"2005",57.6667,-121.4196,770.578002929688
39763,"2005",57.66,-122.2187,911.732971191406
39764,"2005",58.0393,-122.7161,584.362915039062
39765,"2005",59.7876,-120.9264,499.639617919922
39766,"2005",59.1904,-120.1381,426.4365234375
39767,"2005",59.0368,-122.2619,402.920227050781
39768,"2005",59.1796,-124.9113,690.495056152344
39769,"2005",59.1758,-120.328,476.740600585938
39770,"2005",59.2424,-123.6182,302.735107421875
39771,"2005",59.232,-124.2765,582.607177734375
39772,"2005",59.4447,-124.2463,383.552886962891
39773,"2005",56.973,-120.3309,733.560119628906
39774,"2005",59.4671,-120.4027,460.484680175781
39775,"2005",57.1385,-122.7275,1085.6689453125
39776,"2005",57.2002,-120.433,798.865173339844
39777,"2005",58.7545,-120.1564,348.189666748047
39778,"2005",58.2933,-120.0263,504.602081298828
39779,"2005",59.7325,-123.8653,231.315658569336
39780,"2005",59.3706,-121.7195,727.239990234375
39781,"2005",59.7419,-123.4837,453.800842285156
39782,"2005",57.4219,-120.1792,833.460754394531
39783,"2005",58.2772,-122.1599,531.294555664062
39784,"2005",59.3826,-123.0044,412.455474853516
39785,"2005",58.8501,-122.6424,412.0390625
39786,"2005",59.8482,-123.5612,383.012939453125
39787,"2005",59.6433,-120.368,463.692749023438
39788,"2005",58.3463,-120.7748,413.418273925781
39789,"2005",59.877,-120.7286,547.113525390625
39790,"2005",58.5031,-123.8122,892.284057617188
39791,"2005",57.0543,-120.3702,756.045043945312
39792,"2005",58.0507,-122.31,742.873107910156
39793,"2005",57.8963,-120.4453,669.807983398438
39794,"2005",59.1965,-122.0254,501.088409423828
39795,"2005",56.696,-120.3843,703.688598632812
39796,"2005",58.3746,-121.5815,497.385620117188
39797,"2005",58.2291,-121.5205,461.677093505859
39798,"2005",58.2419,-123.3312,1075.33288574219
39799,"2005",59.0182,-123.3055,522.074584960938
39800,"2005",59.8509,-124.6276,493.284606933594
39801,"2005",59.7309,-120.7282,488.005737304688
39802,"2005",59.8124,-122.6357,496.778228759766
39803,"2005",59.8748,-122.5512,492.384887695312
39804,"2005",58.2293,-120.8023,452.380981445312
