"DU","Season","Severity","Years Old","Coefficient","p-values","years"
"49","6","Summer","Moderate",3,-0.122796533174121,0.0873489286940542,3
"50","6","Summer","Moderate",4,-0.515105094006474,0.000815005284980955,4
"51","6","Summer","Moderate",5,-0.441511893573019,0.00978714873036544,5
"52","6","Summer","Moderate",6,-0.676331953027373,0.0293263624388052,6
"53","6","Summer","Moderate",7,-0.609109364689837,0.259393401391783,7
"54","6","Summer","Moderate",7,-6.3825681011413,0.810821177694476,7
"55","6","Summer","Moderate",9,-7.38309553756742,0.736910955377588,9
"56","6","Summer","Severe",1,0.227182820184694,0.665956702442011,1
"57","6","Summer","Severe",2,-1.99492425267491,0.00495845318394511,2
"58","6","Summer","Severe",3,-1.11992184840927,0.28551336912992,3
"59","6","Summer","Severe",4,-0.957414585893201,0.200267412200375,4
"60","6","Summer","Severe",5,-8.3833232079421,0.643532629533448,5
"61","6","Summer","Severe",6,NA,NA,6
"62","6","Summer","Severe",7,NA,NA,7
"63","6","Summer","Severe",8,NA,NA,8
"64","6","Summer","Severe",9,NA,NA,9
"65","6","Summer","Very Severe",1,NA,NA,1
"66","6","Summer","Very Severe",2,-6.38256810054376,0.810821177764706,2
"67","6","Summer","Very Severe",3,NA,NA,3
"68","6","Summer","Very Severe",4,NA,NA,4
"69","6","Summer","Very Severe",5,NA,NA,5
"70","7","Early Winter","Moderate",1,0.150602268680252,0.00964295915889411,1
"71","7","Early Winter","Moderate",2,0.0423599994241768,0.363773785822015,2
"72","7","Early Winter","Moderate",3,0.580670244575378,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000172552551228768,3
"73","7","Early Winter","Moderate",4,0.169219525572726,0.00000000000548570639829997,4
"74","7","Early Winter","Moderate",5,0.318783739182885,0.00000000000000000000000000000000000000000000280327876549979,5
"75","7","Early Winter","Moderate",6,0.0826105283008504,0.000543465146997701,6
"76","7","Early Winter","Moderate",7,0.266040513035594,0.00000000000000000000000000000000000162352333927227,7
"77","7","Early Winter","Moderate",8,0.169409989733575,0.0000000000000197878983972971,8
"78","7","Early Winter","Moderate",9,-0.112599987236778,0.000374907274399013,9
"79","7","Early Winter","Severe",1,-0.0873652647749762,0.409590511331214,1
"80","7","Early Winter","Severe",2,-1.28416341113855,0.00000262982402766028,2
"81","7","Early Winter","Severe",3,-0.0598491592417526,0.428423150425909,3
"82","7","Early Winter","Severe",4,0.223342422725693,0.00000273903598413791,4
"83","7","Early Winter","Severe",5,0.367804479460239,0.0000000000000000000000000000000000000000152773409596335,5
"84","7","Early Winter","Severe",6,0.260035585183544,0.000000000000000000000000000000000000664124229084521,6
"85","7","Early Winter","Severe",7,0.129797141049214,0.0000000956125161783072,7
"86","7","Early Winter","Severe",8,0.120070945951151,0.00308487603738497,8
"87","7","Early Winter","Severe",9,-0.565072540805393,0.000000000598563935142317,9
"88","7","Early Winter","Very Severe",1,-8.76427794226777,0.776314305835614,1
"89","7","Early Winter","Very Severe",2,-1.86191013834175,0.0651216152300805,2
"90","7","Early Winter","Very Severe",3,1.03857954588491,0.000000000000000142730415731722,3
"91","7","Early Winter","Very Severe",4,-0.65855718040135,0.0000793130821111035,4
"92","7","Early Winter","Very Severe",5,0.246376841141748,0.0442374573167067,5
"93","7","Late Winter","Moderate",1,0.12097544813304,0.00093585937980485,1
"94","7","Late Winter","Moderate",2,0.28435838717784,0.000000000000000781884574338797,2
"95","7","Late Winter","Moderate",3,0.453060952147551,0.0000000000000000000000000000000000000000000000134508738121597,3
"96","7","Late Winter","Moderate",4,0.602665148161501,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101804312370427,4
"97","7","Late Winter","Moderate",5,0.441479852945908,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000061260196900048,5
"98","7","Late Winter","Moderate",6,0.714982409136604,0,6
"99","7","Late Winter","Moderate",7,0.854823864135934,0,7
"100","7","Late Winter","Moderate",8,0.619729059810752,0,8
"101","7","Late Winter","Moderate",9,0.35168241556115,0.00000000000000000000000000000000000000000000000000017775206651825,9
"102","7","Late Winter","Severe",1,0.176807707208737,0.0218552889658996,1
"103","7","Late Winter","Severe",2,-0.2216295286365,0.0957348828577281,2
"104","7","Late Winter","Severe",3,-0.297291382929647,0.0000152625189047718,3
"105","7","Late Winter","Severe",4,0.627663922861651,0.0000000000000000000000000000000000000000000000000248649564153207,4
"106","7","Late Winter","Severe",5,0.713037364353384,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000505989071751608,5
"107","7","Late Winter","Severe",6,0.796788413581509,0,6
"108","7","Late Winter","Severe",7,0.766153881809801,0,7
"109","7","Late Winter","Severe",8,0.815277593846141,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019470737750152,8
"110","7","Late Winter","Severe",9,0.582044681376683,0.00000000000000000000000000000000000000000000000000000000000000000000173796554003724,9
"111","7","Late Winter","Very Severe",1,-0.85952421412504,0.000557883518244766,1
"112","7","Late Winter","Very Severe",2,0.0647669660304744,0.70882742832415,2
"113","7","Late Winter","Very Severe",3,0.2241603845622,0.103331194248703,3
"114","7","Late Winter","Very Severe",4,0.27235353078248,0.00191642484715755,4
"115","7","Late Winter","Very Severe",5,1.53413894712093,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000053077688632771,5
"116","7","Summer","Moderate",1,-0.256056679381615,0.00000908452176835888,1
"117","7","Summer","Moderate",2,-0.0226313570657098,0.623192131584964,2
"118","7","Summer","Moderate",3,0.335164565444674,0.0000000000000000000000000000000000265422297914683,3
"119","7","Summer","Moderate",4,0.41972505168453,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000360920617680032,4
"120","7","Summer","Moderate",5,0.268328791486117,0.000000000000000000000000000000000000000000000204015542874302,5
"121","7","Summer","Moderate",6,0.406441927115901,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000342182785840122,6
"122","7","Summer","Moderate",7,0.383263339095204,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000118621531522778,7
"123","7","Summer","Moderate",8,0.430165634635024,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000119920407044404,8
"124","7","Summer","Moderate",9,0.183531925490133,0.00000000000155369612283743,9
"125","7","Summer","Severe",1,-0.607797671118686,0.0000000335766725639326,1
"126","7","Summer","Severe",2,-0.754576597816957,0.0000504525113782898,2
"127","7","Summer","Severe",3,0.206221233517923,0.0164089541327958,3
"128","7","Summer","Severe",4,0.219312099209467,0.00000317558900866093,4
"129","7","Summer","Severe",5,0.504584167013879,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000266911542719916,5
"130","7","Summer","Severe",6,0.382335890417795,0.000000000000000000000000000000000000000000000000000000000000000000000000000525580071931397,6
"131","7","Summer","Severe",7,0.433372335664902,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000148928212288594,7
"132","7","Summer","Severe",8,0.244182676142531,0.000000000000289475319994582,8
"133","7","Summer","Severe",9,0.290162554910798,0.00000279043932080421,9
"134","7","Summer","Very Severe",1,-0.502719071199313,0.440229746949288,1
"135","7","Summer","Very Severe",2,NA,NA,2
"136","7","Summer","Very Severe",3,0.00337188016716423,0.967784197640715,3
"137","7","Summer","Very Severe",4,NA,NA,4
"138","7","Summer","Very Severe",5,0.999280186910963,0.0000000000000000000000301073318227735,5
"139","8","Early Winter","Moderate",1,-0.0390207650316921,0.24726761081664,1
"140","8","Early Winter","Moderate",2,0.0419639777437274,0.121409162499301,2
"141","8","Early Winter","Moderate",3,-0.00208881871932641,0.945882475074012,3
"142","8","Early Winter","Moderate",4,0.415817013203329,0.00000000000000000000000000000000000000197048438513799,4
"143","8","Early Winter","Moderate",5,-0.625885269359445,0.0000000000000000000000000000000000000000111024297526052,5
"144","8","Early Winter","Moderate",6,0.0372044663749376,0.388942033958897,6
"145","8","Early Winter","Moderate",7,-0.346427516129881,0.000000000000000065532678883173,7
"146","8","Early Winter","Moderate",8,-0.401016964824767,0.000000197488208291573,8
"147","8","Early Winter","Moderate",9,-0.594337490896325,0.00000000000000000580774990247803,9
"148","8","Early Winter","Severe",1,0.104469163306089,0.0251947790038762,1
"149","8","Early Winter","Severe",2,-0.49781263087278,0.00000000000000066964881615544,2
"150","8","Early Winter","Severe",3,-0.0965591360436109,0.166683955423688,3
"151","8","Early Winter","Severe",4,-0.445167133237565,0.00000000863510993511162,4
"152","8","Early Winter","Severe",5,-0.828044892982385,0.00000000100181564384356,5
"153","8","Early Winter","Severe",6,-0.450427593753595,0.0026539497157541,6
"154","8","Early Winter","Severe",7,-1.11074178554919,0.00000000000000000000000000000146642779705561,7
"155","8","Early Winter","Severe",8,-0.723808621885534,0.0000000000000000019870423090859,8
"156","8","Early Winter","Severe",9,-0.946582810425174,0.000000000000000000247638806104906,9
"157","8","Early Winter","Very Severe",1,0.693114878542668,0.0000000000000000000000000000000000000000000000000000071263177433908,1
"158","8","Early Winter","Very Severe",2,0.680990197120647,0.00000000000000000000000000000000000000000000000000000000000000228135531100705,2
"159","8","Early Winter","Very Severe",3,0.973211990612465,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000194984912992575,3
"160","8","Early Winter","Very Severe",4,-0.290153993043319,0.00000000396172240693876,4
"161","8","Early Winter","Very Severe",5,-0.00693992890235107,0.899538671739509,5
"162","8","Late Winter","Moderate",1,-0.212543903321658,0.0000602879317774295,1
"163","8","Late Winter","Moderate",2,-0.522484433129712,0.00000000000000000000000000000170220598130961,2
"164","8","Late Winter","Moderate",3,0.017254184233038,0.645148130138902,3
"165","8","Late Winter","Moderate",4,0.160837735564735,0.00167805670720723,4
"166","8","Late Winter","Moderate",5,-0.151489066214166,0.00386351408455182,5
"167","8","Late Winter","Moderate",6,-0.562008638433011,0.000000000000000000313146179916987,6
"168","8","Late Winter","Moderate",7,-1.30143570284835,0.0000000000000000000000000000000000000000000000000199182124225457,7
"169","8","Late Winter","Moderate",8,-1.35048028238229,0.000000000000000000222988761249299,8
"170","8","Late Winter","Moderate",9,-1.18163286259057,0.000000000000000000000127042872201996,9
"171","8","Late Winter","Severe",1,-0.760093660678861,0.0000000000000000000000000255004477227039,1
"172","8","Late Winter","Severe",2,-1.09255970724305,0.000000000000000000603310138547227,2
"173","8","Late Winter","Severe",3,-0.965300949734205,0.000000000000000000000159486803738764,3
"174","8","Late Winter","Severe",4,-1.32411449546911,0.000000000000000406081667112623,4
"175","8","Late Winter","Severe",5,-2.72695860221549,0.0000000000000000107422726123611,5
"176","8","Late Winter","Severe",6,-2.10984052697284,0.0000000000404387832367793,6
"177","8","Late Winter","Severe",7,-1.57388924053732,0.000000000000000000000000170288317214394,7
"178","8","Late Winter","Severe",8,-1.19813751557712,0.000000000000000000000000000000000000647433013910993,8
"179","8","Late Winter","Severe",9,-1.16296252140946,0.0000000000000000000000000000000000000000000384460266339583,9
"180","8","Late Winter","Very Severe",1,-0.0909490273253095,0.690568476914515,1
"181","8","Late Winter","Very Severe",2,0.793303955005768,0.00000000000000000946525952909898,2
"182","8","Late Winter","Very Severe",3,-0.202235435069454,0.139562665516044,3
"183","8","Late Winter","Very Severe",4,-0.695746762097566,0.000000000156921494499739,4
"184","8","Late Winter","Very Severe",5,0.552029598458077,0.00000000000000344079347937847,5
"185","8","Summer","Moderate",1,-0.531379758659448,0.000000000000000000000429973008309764,1
"186","8","Summer","Moderate",2,-0.389436031074638,0.00000000000000000000205582284074185,2
"187","8","Summer","Moderate",3,0.174822728322059,0.000000000186334091616991,3
"188","8","Summer","Moderate",4,0.468595025247127,0.000000000000000000000000000000000000000000000000000000000000000038194472768242,4
"189","8","Summer","Moderate",5,-0.191251718044503,0.000626122170440637,5
"190","8","Summer","Moderate",6,-0.116615773200762,0.0599444542507709,6
"191","8","Summer","Moderate",7,-0.509510512712794,0.0000000000000000000000179081550529352,7
"192","8","Summer","Moderate",8,-0.326687217397706,0.0000482214069579441,8
"193","8","Summer","Moderate",9,-0.378379929099852,0.000000200646131851345,9
"194","8","Summer","Severe",1,-0.446815294483783,0.0000000049983788065818,1
"195","8","Summer","Severe",2,-0.366253735558584,0.000000300392960578342,2
"196","8","Summer","Severe",3,0.108964915558023,0.124115952535062,3
"197","8","Summer","Severe",4,-0.60895287660939,0.0000707626838370744,4
"198","8","Summer","Severe",5,-1.35113608296039,0.00000000109595399799814,5
"199","8","Summer","Severe",6,-1.47383862508849,0.00000228556095489908,6
"200","8","Summer","Severe",7,-1.2057278713431,0.0000000000000000000000397554177319008,7
"201","8","Summer","Severe",8,-0.779228056616476,0.054123202028407,8
"202","8","Summer","Severe",9,-1.68577207992821,0.000000000000000000000000394681792244863,9
"203","8","Summer","Very Severe",1,0.798046508235884,0.000000000000000000000000000000000000190571543056456,1
"204","8","Summer","Very Severe",2,0.162971777595522,0.000786561592968534,2
"205","8","Summer","Very Severe",3,0.633411256991622,0.000000000000000000000000614194375865477,3
"206","8","Summer","Very Severe",4,-0.318547635773703,0.013595881002385,4
"207","8","Summer","Very Severe",5,-0.0367789170172488,0.63385078226886,5
"208","9","Early Winter","Moderate",1,1.65893855620657,0.0000000702626470236581,1
"209","9","Early Winter","Moderate",2,-0.91859267515277,0.367377858518353,2
"210","9","Early Winter","Moderate",3,-0.432250463221732,0.675097554867147,3
"211","9","Early Winter","Moderate",4,NA,NA,4
"212","9","Early Winter","Moderate",5,-11.2259270768638,0.952710432942692,5
"213","9","Early Winter","Moderate",6,-0.795740151935543,0.436104705121747,6
"214","9","Early Winter","Moderate",7,0.688293872997041,0.00634591501335492,7
"215","9","Early Winter","Moderate",8,-0.370343725217065,0.312199294725686,8
"216","9","Early Winter","Moderate",9,-0.751204938676448,0.462662948081943,9
"217","9","Early Winter","Severe",1,NA,NA,1
"218","9","Early Winter","Severe",2,0.0382537079569376,0.970917373281259,2
"219","9","Early Winter","Severe",3,NA,NA,3
"220","9","Early Winter","Severe",4,-11.2258436912984,0.955761748951536,4
"221","9","Early Winter","Severe",5,NA,NA,5
"222","9","Early Winter","Severe",6,NA,NA,6
"223","9","Early Winter","Severe",7,NA,NA,7
"224","9","Early Winter","Severe",8,-11.226260688022,0.942097589762551,8
"225","9","Early Winter","Severe",9,-11.2262606880237,0.942097589762581,9
"226","9","Early Winter","Very Severe",1,-9.22533055293848,0.962643320685795,1
"227","9","Early Winter","Very Severe",2,NA,NA,2
"228","9","Early Winter","Very Severe",3,NA,NA,3
"229","9","Early Winter","Very Severe",4,NA,NA,4
"230","9","Early Winter","Very Severe",5,NA,NA,5
"231","9","Late Winter","Moderate",1,-1.87180720518627,0.00128939692794712,1
"232","9","Late Winter","Moderate",2,-0.563097663454392,0.12133563899103,2
"233","9","Late Winter","Moderate",3,-13.2064112214041,0.923156098156712,3
"234","9","Late Winter","Moderate",4,-12.2041899598976,0.921350764740616,4
"235","9","Late Winter","Moderate",5,-9.202495482264,0.925552680547648,5
"236","9","Late Winter","Moderate",6,-0.657429729973762,0.364095117952881,6
"237","9","Late Winter","Moderate",7,1.85769306490566,0.000000013715822042662,7
"238","9","Late Winter","Moderate",8,0.818972744979358,0.0000284975728962054,8
"239","9","Late Winter","Moderate",9,1.36649859243659,0.00000000289162180414655,9
"240","9","Late Winter","Severe",1,NA,NA,1
"241","9","Late Winter","Severe",2,NA,NA,2
"242","9","Late Winter","Severe",3,NA,NA,3
"243","9","Late Winter","Severe",4,-8.20236255391112,0.945262346231253,4
"244","9","Late Winter","Severe",5,NA,NA,5
"245","9","Late Winter","Severe",6,NA,NA,6
"246","9","Late Winter","Severe",7,-0.0342472733711226,0.947753143780884,7
"247","9","Late Winter","Severe",8,0.41792044934614,0.695902394948959,8
"248","9","Late Winter","Severe",9,NA,NA,9
"249","9","Late Winter","Very Severe",1,NA,NA,1
"250","9","Late Winter","Very Severe",2,NA,NA,2
"251","9","Late Winter","Very Severe",3,NA,NA,3
"252","9","Late Winter","Very Severe",4,NA,NA,4
"253","9","Late Winter","Very Severe",5,NA,NA,5
"254","9","Summer","Moderate",1,0.964234926486378,0.154460359023002,1
"255","9","Summer","Moderate",2,1.65748468693052,0.0300238484418951,2
"256","9","Summer","Moderate",3,-8.62134767199397,0.918712251396059,3
"257","9","Summer","Moderate",4,-7.62125195592966,0.916237264209055,4
"258","9","Summer","Moderate",5,-1.92741191839847,0.0546833073518081,5
"259","9","Summer","Moderate",6,-0.332819000032648,0.5262163041509,6
"260","9","Summer","Moderate",7,0.0335509616167842,0.886104275655684,7
"261","9","Summer","Moderate",8,-2.33360248925373,0.0204052268368022,8
"262","9","Summer","Moderate",9,-1.04259547804545,0.0229880349228286,9
"263","9","Summer","Severe",1,-8.62134767200052,0.918712251396379,1
"264","9","Summer","Severe",2,NA,NA,2
"265","9","Summer","Severe",3,NA,NA,3
"266","9","Summer","Severe",4,NA,NA,4
"267","9","Summer","Severe",5,NA,NA,5
"268","9","Summer","Severe",6,-1.44081264446009,0.0449334444842905,6
"269","9","Summer","Severe",7,-10.6217419882638,0.895907964512607,7
"270","9","Summer","Severe",8,-1.16957978281652,0.105571163019008,8
"271","9","Summer","Severe",9,-0.763714790575113,0.294528854813665,9
"272","9","Summer","Very Severe",1,NA,NA,1
"273","9","Summer","Very Severe",2,NA,NA,2
"274","9","Summer","Very Severe",3,NA,NA,3
"275","9","Summer","Very Severe",4,NA,NA,4
"276","9","Summer","Very Severe",5,NA,NA,5
