"","X.1","X","distance_to_cut_1to4","distance_to_cut_5to40","distance_to_cut_5to9","distance_to_cut_10to40","distance_to_resource_road","HERD_NAME","animal_id","predict_du7","predict_du9","predict_du6","predict_du8"
"45",45,45,13,5,5,5,5,"Itcha-Ilgachuz","new",0.300830302,0.145799611330924,0.322453706945148,0.197127192516635
"46",46,46,14,5,5,5,5,"Itcha-Ilgachuz","new",0.297536659,0.146004598954218,0.321461787344504,0.196950389453206
"47",47,47,15,5,5,5,5,"Itcha-Ilgachuz","new",0.294263899,0.146209825450267,0.32047147581708,0.196773706099639
"48",48,48,16,5,5,5,5,"Itcha-Ilgachuz","new",0.291012225,0.146415290958702,0.319482778653814,0.196597142444601
"49",49,49,17,5,5,5,5,"Itcha-Ilgachuz","new",0.28778183,0.146620995618836,0.318495702091876,0.196420698476627
"50",50,50,18,5,5,5,5,"Itcha-Ilgachuz","new",0.284572901,0.146826939569653,0.317510252314601,0.19624437418412
"51",51,51,19,5,5,5,5,"Itcha-Ilgachuz","new",0.281385617,0.147033122949816,0.316526435451427,0.196068169555345
"52",52,52,20,5,5,5,5,"Itcha-Ilgachuz","new",0.278220149,0.147239545897661,0.315544257577839,0.195892084578438
"53",53,53,21,5,5,5,5,"Itcha-Ilgachuz","new",0.27507666,0.147446208551196,0.314563724715314,0.195716119241398
"54",54,54,22,5,5,5,5,"Itcha-Ilgachuz","new",0.271955305,0.147653111048102,0.313584842831269,0.195540273532095
"55",55,55,23,5,5,5,5,"Itcha-Ilgachuz","new",0.268856233,0.147860253525729,0.312607617839014,0.195364547438262
"56",56,56,24,5,5,5,5,"Itcha-Ilgachuz","new",0.265779585,0.148067636121095,0.311632055597707,0.195188940947503
"57",57,57,25,5,5,5,5,"Itcha-Ilgachuz","new",0.262725492,0.148275258970886,0.310658161912312,0.195013454047287
"58",58,58,26,5,5,5,5,"Itcha-Ilgachuz","new",0.259694082,0.148483122211454,0.309685942533566,0.194838086724953
"59",59,59,27,5,5,5,5,"Itcha-Ilgachuz","new",0.256685471,0.148691225978816,0.308715403157938,0.194662838967705
"60",60,60,28,5,5,5,5,"Itcha-Ilgachuz","new",0.253699771,0.148899570408652,0.307746549427603,0.194487710762619
"61",61,61,29,5,5,5,5,"Itcha-Ilgachuz","new",0.250737085,0.149108155636304,0.306779386930413,0.194312702096637
"62",62,62,30,5,5,5,5,"Itcha-Ilgachuz","new",0.247797509,0.149316981796774,0.305813921199871,0.194137812956571
"63",63,63,0,5,5,5,5,"Tweedsmuir","new",0.196214178,0.143156445538088,0.335492036643733,0.199436530848973
"64",64,64,1,5,5,5,5,"Tweedsmuir","new",0.193845283,0.143358340666257,0.334479808892497,0.199258170587582
"65",65,65,2,5,5,5,5,"Tweedsmuir","new",0.191498174,0.143560472823249,0.333469102575034,0.199079930171067
"66",66,66,3,5,5,5,5,"Tweedsmuir","new",0.189172816,0.143762842152764,0.332459924673809,0.198901809589857
"67",67,67,4,5,5,5,5,"Tweedsmuir","new",0.186869167,0.143965448798199,0.331452282118679,0.198723808834244
"68",68,68,5,5,5,5,5,"Tweedsmuir","new",0.184587186,0.14416829290264,0.330446181786781,0.198545927894387
"69",69,69,6,5,5,5,5,"Tweedsmuir","new",0.182326822,0.14437137460887,0.329441630502423,0.198368166760305
"70",70,70,7,5,5,5,5,"Tweedsmuir","new",0.180088025,0.14457469405936,0.328438635036981,0.198190525421882
"71",71,71,8,5,5,5,5,"Tweedsmuir","new",0.177870738,0.144778251396271,0.327437202108806,0.198013003868868
"72",72,72,9,5,5,5,5,"Tweedsmuir","new",0.175674901,0.144982046761454,0.326437338383117,0.197835602090875
"73",73,73,10,5,5,5,5,"Tweedsmuir","new",0.173500451,0.145186080296446,0.325439050471918,0.197658320077381
"74",74,74,11,5,5,5,5,"Tweedsmuir","new",0.171347322,0.145390352142469,0.324442344933902,0.197481157817727
"75",75,75,12,5,5,5,5,"Tweedsmuir","new",0.169215442,0.145594862440432,0.32344722827437,0.197304115301121
"76",76,76,13,5,5,5,5,"Tweedsmuir","new",0.167104738,0.145799611330924,0.322453706945148,0.197127192516635
"77",77,77,14,5,5,5,5,"Tweedsmuir","new",0.165015132,0.146004598954218,0.321461787344504,0.196950389453206
"78",78,78,15,5,5,5,5,"Tweedsmuir","new",0.162946544,0.146209825450267,0.32047147581708,0.196773706099639
"79",79,79,16,5,5,5,5,"Tweedsmuir","new",0.160898891,0.146415290958702,0.319482778653814,0.196597142444601
"80",80,80,17,5,5,5,5,"Tweedsmuir","new",0.158872085,0.146620995618836,0.318495702091876,0.196420698476627
"81",81,81,18,5,5,5,5,"Tweedsmuir","new",0.156866038,0.146826939569653,0.317510252314601,0.19624437418412
"82",82,82,19,5,5,5,5,"Tweedsmuir","new",0.154880656,0.147033122949816,0.316526435451427,0.196068169555345
"83",83,83,20,5,5,5,5,"Tweedsmuir","new",0.152915846,0.147239545897661,0.315544257577839,0.195892084578438
"84",84,84,21,5,5,5,5,"Tweedsmuir","new",0.150971508,0.147446208551196,0.314563724715314,0.195716119241398
"85",85,85,22,5,5,5,5,"Tweedsmuir","new",0.149047542,0.147653111048102,0.313584842831269,0.195540273532095
"86",86,86,23,5,5,5,5,"Tweedsmuir","new",0.147143846,0.147860253525729,0.312607617839014,0.195364547438262
"87",87,87,24,5,5,5,5,"Tweedsmuir","new",0.145260314,0.148067636121095,0.311632055597707,0.195188940947503
"88",88,88,25,5,5,5,5,"Tweedsmuir","new",0.143396839,0.148275258970886,0.310658161912312,0.195013454047287
"89",89,89,26,5,5,5,5,"Tweedsmuir","new",0.14155331,0.148483122211454,0.309685942533566,0.194838086724953
"90",90,90,27,5,5,5,5,"Tweedsmuir","new",0.139729616,0.148691225978816,0.308715403157938,0.194662838967705
"91",91,91,28,5,5,5,5,"Tweedsmuir","new",0.137925643,0.148899570408652,0.307746549427603,0.194487710762619
"92",92,92,29,5,5,5,5,"Tweedsmuir","new",0.136141273,0.149108155636304,0.306779386930413,0.194312702096637
"93",93,93,30,5,5,5,5,"Tweedsmuir","new",0.13437639,0.149316981796774,0.305813921199871,0.194137812956571
"94",94,94,0,5,5,5,5,"Graham","new",0.274516118,0.143156445538088,0.335492036643733,0.199436530848973
"95",95,95,1,5,5,5,5,"Graham","new",0.270599276,0.143358340666257,0.334479808892497,0.199258170587582
"96",96,96,2,5,5,5,5,"Graham","new",0.266717773,0.143560472823249,0.333469102575034,0.199079930171067
"97",97,97,3,5,5,5,5,"Graham","new",0.262871882,0.143762842152764,0.332459924673809,0.198901809589857
"98",98,98,4,5,5,5,5,"Graham","new",0.259061854,0.143965448798199,0.331452282118679,0.198723808834244
"99",99,99,5,5,5,5,5,"Graham","new",0.255287923,0.14416829290264,0.330446181786781,0.198545927894387
"100",100,100,6,5,5,5,5,"Graham","new",0.251550304,0.14437137460887,0.329441630502423,0.198368166760305
"101",101,101,7,5,5,5,5,"Graham","new",0.247849196,0.14457469405936,0.328438635036981,0.198190525421882
"102",102,102,8,5,5,5,5,"Graham","new",0.244184776,0.144778251396271,0.327437202108806,0.198013003868868
"103",103,103,9,5,5,5,5,"Graham","new",0.240557206,0.144982046761454,0.326437338383117,0.197835602090875
"104",104,104,10,5,5,5,5,"Graham","new",0.236966632,0.145186080296446,0.325439050471918,0.197658320077381
"105",105,105,11,5,5,5,5,"Graham","new",0.233413178,0.145390352142469,0.324442344933902,0.197481157817727
"106",106,106,12,5,5,5,5,"Graham","new",0.229896956,0.145594862440432,0.32344722827437,0.197304115301121
"107",107,107,13,5,5,5,5,"Graham","new",0.226418059,0.145799611330924,0.322453706945148,0.197127192516635
"108",108,108,14,5,5,5,5,"Graham","new",0.222976563,0.146004598954218,0.321461787344504,0.196950389453206
"109",109,109,15,5,5,5,5,"Graham","new",0.219572529,0.146209825450267,0.32047147581708,0.196773706099639
"110",110,110,16,5,5,5,5,"Graham","new",0.216206003,0.146415290958702,0.319482778653814,0.196597142444601
"111",111,111,17,5,5,5,5,"Graham","new",0.212877013,0.146620995618836,0.318495702091876,0.196420698476627
"112",112,112,18,5,5,5,5,"Graham","new",0.209585575,0.146826939569653,0.317510252314601,0.19624437418412
"113",113,113,19,5,5,5,5,"Graham","new",0.206331688,0.147033122949816,0.316526435451427,0.196068169555345
"114",114,114,20,5,5,5,5,"Graham","new",0.203115337,0.147239545897661,0.315544257577839,0.195892084578438
"115",115,115,21,5,5,5,5,"Graham","new",0.199936492,0.147446208551196,0.314563724715314,0.195716119241398
"116",116,116,22,5,5,5,5,"Graham","new",0.196795112,0.147653111048102,0.313584842831269,0.195540273532095
"117",117,117,23,5,5,5,5,"Graham","new",0.19369114,0.147860253525729,0.312607617839014,0.195364547438262
"118",118,118,24,5,5,5,5,"Graham","new",0.190624507,0.148067636121095,0.311632055597707,0.195188940947503
"119",119,119,25,5,5,5,5,"Graham","new",0.18759513,0.148275258970886,0.310658161912312,0.195013454047287
"120",120,120,26,5,5,5,5,"Graham","new",0.184602915,0.148483122211454,0.309685942533566,0.194838086724953
"121",121,121,27,5,5,5,5,"Graham","new",0.181647755,0.148691225978816,0.308715403157938,0.194662838967705
"122",122,122,28,5,5,5,5,"Graham","new",0.178729533,0.148899570408652,0.307746549427603,0.194487710762619
"123",123,123,29,5,5,5,5,"Graham","new",0.175848119,0.149108155636304,0.306779386930413,0.194312702096637
"124",124,124,30,5,5,5,5,"Graham","new",0.173003373,0.149316981796774,0.305813921199871,0.194137812956571
"125",125,125,0,5,5,5,5,"Calendar","new",0.240012376,0.143156445538088,0.397446354018902,0.199436530848973
"126",126,126,1,5,5,5,5,"Calendar","new",0.239356569,0.143358340666257,0.396424306865401,0.199258170587582
"127",127,127,2,5,5,5,5,"Calendar","new",0.238701991,0.143560472823249,0.395403163264791,0.199079930171067
"128",128,128,3,5,5,5,5,"Calendar","new",0.238048643,0.143762842152764,0.394382931314474,0.198901809589857
"129",129,129,4,5,5,5,5,"Calendar","new",0.237396525,0.143965448798199,0.393363619080799,0.198723808834244
"130",130,130,5,5,5,5,5,"Calendar","new",0.236745639,0.14416829290264,0.392345234598826,0.198545927894387
"131",131,131,6,5,5,5,5,"Calendar","new",0.236095984,0.14437137460887,0.391327785872097,0.198368166760305
"132",132,132,7,5,5,5,5,"Calendar","new",0.235447563,0.14457469405936,0.390311280872413,0.198190525421882
"133",133,133,8,5,5,5,5,"Calendar","new",0.234800375,0.144778251396271,0.389295727539603,0.198013003868868
"134",134,134,9,5,5,5,5,"Calendar","new",0.234154421,0.144982046761454,0.388281133781305,0.197835602090875
"135",135,135,10,5,5,5,5,"Calendar","new",0.233509702,0.145186080296446,0.387267507472745,0.197658320077381
"136",136,136,11,5,5,5,5,"Calendar","new",0.232866219,0.145390352142469,0.38625485645652,0.197481157817727
"137",137,137,12,5,5,5,5,"Calendar","new",0.232223971,0.145594862440432,0.385243188542378,0.197304115301121
"138",138,138,13,5,5,5,5,"Calendar","new",0.23158296,0.145799611330924,0.384232511507007,0.197127192516635
"139",139,139,14,5,5,5,5,"Calendar","new",0.230943186,0.146004598954218,0.383222833093825,0.196950389453206
"140",140,140,15,5,5,5,5,"Calendar","new",0.23030465,0.146209825450267,0.382214161012768,0.196773706099639
"141",141,141,16,5,5,5,5,"Calendar","new",0.229667352,0.146415290958702,0.381206502940085,0.196597142444601
"142",142,142,17,5,5,5,5,"Calendar","new",0.229031293,0.146620995618836,0.380199866518132,0.196420698476627
"143",143,143,18,5,5,5,5,"Calendar","new",0.228396473,0.146826939569653,0.379194259355172,0.19624437418412
"144",144,144,19,5,5,5,5,"Calendar","new",0.227762893,0.147033122949816,0.378189689025174,0.196068169555345
"145",145,145,20,5,5,5,5,"Calendar","new",0.227130553,0.147239545897661,0.377186163067613,0.195892084578438
"146",146,146,21,5,5,5,5,"Calendar","new",0.226499454,0.147446208551196,0.376183688987281,0.195716119241398
"147",147,147,22,5,5,5,5,"Calendar","new",0.225869596,0.147653111048102,0.375182274254088,0.195540273532095
"148",148,148,23,5,5,5,5,"Calendar","new",0.225240979,0.147860253525729,0.374181926302876,0.195364547438262
"149",149,149,24,5,5,5,5,"Calendar","new",0.224613604,0.148067636121095,0.373182652533227,0.195188940947503
"150",150,150,25,5,5,5,5,"Calendar","new",0.223987472,0.148275258970886,0.37218446030928,0.195013454047287
"151",151,151,26,5,5,5,5,"Calendar","new",0.223362582,0.148483122211454,0.37118735695955,0.194838086724953
"152",152,152,27,5,5,5,5,"Calendar","new",0.222738935,0.148691225978816,0.370191349776741,0.194662838967705
"153",153,153,28,5,5,5,5,"Calendar","new",0.222116531,0.148899570408652,0.369196446017572,0.194487710762619
"154",154,154,29,5,5,5,5,"Calendar","new",0.221495371,0.149108155636304,0.368202652902601,0.194312702096637
"155",155,155,30,5,5,5,5,"Calendar","new",0.220875455,0.149316981796774,0.367209977616048,0.194137812956571
"156",156,156,0,5,5,5,5,"Parker","new",0.240012376,0.143156445538088,0.364076740873609,0.199436530848973
"157",157,157,1,5,5,5,5,"Parker","new",0.239356569,0.143358340666257,0.36297435447034,0.199258170587582
"158",158,158,2,5,5,5,5,"Parker","new",0.238701991,0.143560472823249,0.361873406533149,0.199079930171067
"159",159,159,3,5,5,5,5,"Parker","new",0.238048643,0.143762842152764,0.360773906719874,0.198901809589857
"160",160,160,4,5,5,5,5,"Parker","new",0.237396525,0.143965448798199,0.359675864630136,0.198723808834244
"161",161,161,5,5,5,5,5,"Parker","new",0.236745639,0.14416829290264,0.358579289805072,0.198545927894387
"162",162,162,6,5,5,5,5,"Parker","new",0.236095984,0.14437137460887,0.357484191727073,0.198368166760305
"163",163,163,7,5,5,5,5,"Parker","new",0.235447563,0.14457469405936,0.356390579819531,0.198190525421882
"164",164,164,8,5,5,5,5,"Parker","new",0.234800375,0.144778251396271,0.355298463446588,0.198013003868868
"165",165,165,9,5,5,5,5,"Parker","new",0.234154421,0.144982046761454,0.354207851912887,0.197835602090875
"166",166,166,10,5,5,5,5,"Parker","new",0.233509702,0.145186080296446,0.353118754463337,0.197658320077381
"167",167,167,11,5,5,5,5,"Parker","new",0.232866219,0.145390352142469,0.352031180282871,0.197481157817727
"168",168,168,12,5,5,5,5,"Parker","new",0.232223971,0.145594862440432,0.350945138496218,0.197304115301121
"169",169,169,13,5,5,5,5,"Parker","new",0.23158296,0.145799611330924,0.349860638167672,0.197127192516635
"170",170,170,14,5,5,5,5,"Parker","new",0.230943186,0.146004598954218,0.348777688300878,0.196950389453206
"171",171,171,15,5,5,5,5,"Parker","new",0.23030465,0.146209825450267,0.347696297838604,0.196773706099639
"172",172,172,16,5,5,5,5,"Parker","new",0.229667352,0.146415290958702,0.346616475662538,0.196597142444601
"173",173,173,17,5,5,5,5,"Parker","new",0.229031293,0.146620995618836,0.345538230593075,0.196420698476627
"174",174,174,18,5,5,5,5,"Parker","new",0.228396473,0.146826939569653,0.344461571389115,0.19624437418412
"175",175,175,19,5,5,5,5,"Parker","new",0.227762893,0.147033122949816,0.343386506747867,0.196068169555345
"176",176,176,20,5,5,5,5,"Parker","new",0.227130553,0.147239545897661,0.342313045304653,0.195892084578438
"177",177,177,21,5,5,5,5,"Parker","new",0.226499454,0.147446208551196,0.341241195632721,0.195716119241398
"178",178,178,22,5,5,5,5,"Parker","new",0.225869596,0.147653111048102,0.340170966243059,0.195540273532095
"179",179,179,23,5,5,5,5,"Parker","new",0.225240979,0.147860253525729,0.33910236558422,0.195364547438262
"180",180,180,24,5,5,5,5,"Parker","new",0.224613604,0.148067636121095,0.338035402042144,0.195188940947503
"181",181,181,25,5,5,5,5,"Parker","new",0.223987472,0.148275258970886,0.336970083939989,0.195013454047287
"182",182,182,26,5,5,5,5,"Parker","new",0.223362582,0.148483122211454,0.335906419537969,0.194838086724953
"183",183,183,27,5,5,5,5,"Parker","new",0.222738935,0.148691225978816,0.33484441703319,0.194662838967705
"184",184,184,28,5,5,5,5,"Parker","new",0.222116531,0.148899570408652,0.333784084559498,0.194487710762619
"185",185,185,29,5,5,5,5,"Parker","new",0.221495371,0.149108155636304,0.332725430187326,0.194312702096637
"186",186,186,30,5,5,5,5,"Parker","new",0.220875455,0.149316981796774,0.331668461923551,0.194137812956571
"187",187,187,0,5,5,5,5,"Prophet","new",0.240012376,0.143156445538088,0.319790006811837,0.199436530848973
"188",188,188,1,5,5,5,5,"Prophet","new",0.239356569,0.143358340666257,0.318801582295254,0.199258170587582
"189",189,189,2,5,5,5,5,"Prophet","new",0.238701991,0.143560472823249,0.317814785430714,0.199079930171067
"190",190,190,3,5,5,5,5,"Prophet","new",0.238048643,0.143762842152764,0.316829622380123,0.198901809589857
"191",191,191,4,5,5,5,5,"Prophet","new",0.237396525,0.143965448798199,0.315846099251268,0.198723808834244
"192",192,192,5,5,5,5,5,"Prophet","new",0.236745639,0.14416829290264,0.314864222097756,0.198545927894387
"193",193,193,6,5,5,5,5,"Prophet","new",0.236095984,0.14437137460887,0.313883996918968,0.198368166760305
"194",194,194,7,5,5,5,5,"Prophet","new",0.235447563,0.14457469405936,0.312905429660005,0.198190525421882
"195",195,195,8,5,5,5,5,"Prophet","new",0.234800375,0.144778251396271,0.311928526211644,0.198013003868868
"196",196,196,9,5,5,5,5,"Prophet","new",0.234154421,0.144982046761454,0.310953292410297,0.197835602090875
"197",197,197,10,5,5,5,5,"Prophet","new",0.233509702,0.145186080296446,0.309979734037971,0.197658320077381
"198",198,198,11,5,5,5,5,"Prophet","new",0.232866219,0.145390352142469,0.309007856822231,0.197481157817727
"199",199,199,12,5,5,5,5,"Prophet","new",0.232223971,0.145594862440432,0.308037666436173,0.197304115301121
"200",200,200,13,5,5,5,5,"Prophet","new",0.23158296,0.145799611330924,0.307069168498388,0.197127192516635
"201",201,201,14,5,5,5,5,"Prophet","new",0.230943186,0.146004598954218,0.306102368572941,0.196950389453206
"202",202,202,15,5,5,5,5,"Prophet","new",0.23030465,0.146209825450267,0.305137272169352,0.196773706099639
"203",203,203,16,5,5,5,5,"Prophet","new",0.229667352,0.146415290958702,0.304173884742567,0.196597142444601
"204",204,204,17,5,5,5,5,"Prophet","new",0.229031293,0.146620995618836,0.303212211692953,0.196420698476627
"205",205,205,18,5,5,5,5,"Prophet","new",0.228396473,0.146826939569653,0.30225225836628,0.19624437418412
"206",206,206,19,5,5,5,5,"Prophet","new",0.227762893,0.147033122949816,0.301294030053713,0.196068169555345
"207",207,207,20,5,5,5,5,"Prophet","new",0.227130553,0.147239545897661,0.300337531991805,0.195892084578438
"208",208,208,21,5,5,5,5,"Prophet","new",0.226499454,0.147446208551196,0.299382769362499,0.195716119241398
"209",209,209,22,5,5,5,5,"Prophet","new",0.225869596,0.147653111048102,0.298429747293121,0.195540273532095
"210",210,210,23,5,5,5,5,"Prophet","new",0.225240979,0.147860253525729,0.297478470856391,0.195364547438262
"211",211,211,24,5,5,5,5,"Prophet","new",0.224613604,0.148067636121095,0.296528945070425,0.195188940947503
"212",212,212,25,5,5,5,5,"Prophet","new",0.223987472,0.148275258970886,0.295581174898748,0.195013454047287
"213",213,213,26,5,5,5,5,"Prophet","new",0.223362582,0.148483122211454,0.294635165250306,0.194838086724953
"214",214,214,27,5,5,5,5,"Prophet","new",0.222738935,0.148691225978816,0.293690920979481,0.194662838967705
"215",215,215,28,5,5,5,5,"Prophet","new",0.222116531,0.148899570408652,0.292748446886113,0.194487710762619
"216",216,216,29,5,5,5,5,"Prophet","new",0.221495371,0.149108155636304,0.29180774771552,0.194312702096637
"217",217,217,30,5,5,5,5,"Prophet","new",0.220875455,0.149316981796774,0.290868828158526,0.194137812956571
"218",218,218,0,5,5,5,5,"Chinchaga","new",0.240012376,0.143156445538088,0.365771384185908,0.199436530848973
"219",219,219,1,5,5,5,5,"Chinchaga","new",0.239356569,0.143358340666257,0.364576048189786,0.199258170587582
"220",220,220,2,5,5,5,5,"Chinchaga","new",0.238701991,0.143560472823249,0.363382380390297,0.199079930171067
"221",221,221,3,5,5,5,5,"Chinchaga","new",0.238048643,0.143762842152764,0.362190393132461,0.198901809589857
"222",222,222,4,5,5,5,5,"Chinchaga","new",0.237396525,0.143965448798199,0.361000098681944,0.198723808834244
"223",223,223,5,5,5,5,5,"Chinchaga","new",0.236745639,0.14416829290264,0.359811509224656,0.198545927894387
"224",224,224,6,5,5,5,5,"Chinchaga","new",0.236095984,0.14437137460887,0.358624636866355,0.198368166760305
"225",225,225,7,5,5,5,5,"Chinchaga","new",0.235447563,0.14457469405936,0.357439493632261,0.198190525421882
"226",226,226,8,5,5,5,5,"Chinchaga","new",0.234800375,0.144778251396271,0.356256091466679,0.198013003868868
"227",227,227,9,5,5,5,5,"Chinchaga","new",0.234154421,0.144982046761454,0.35507444223262,0.197835602090875
"228",228,228,10,5,5,5,5,"Chinchaga","new",0.233509702,0.145186080296446,0.353894557711445,0.197658320077381
"229",229,229,11,5,5,5,5,"Chinchaga","new",0.232866219,0.145390352142469,0.3527164496025,0.197481157817727
"230",230,230,12,5,5,5,5,"Chinchaga","new",0.232223971,0.145594862440432,0.351540129522774,0.197304115301121
"231",231,231,13,5,5,5,5,"Chinchaga","new",0.23158296,0.145799611330924,0.350365609006553,0.197127192516635
"232",232,232,14,5,5,5,5,"Chinchaga","new",0.230943186,0.146004598954218,0.349192899505089,0.196950389453206
"233",233,233,15,5,5,5,5,"Chinchaga","new",0.23030465,0.146209825450267,0.34802201238627,0.196773706099639
"234",234,234,16,5,5,5,5,"Chinchaga","new",0.229667352,0.146415290958702,0.346852958934308,0.196597142444601
"235",235,235,17,5,5,5,5,"Chinchaga","new",0.229031293,0.146620995618836,0.34568575034942,0.196420698476627
"236",236,236,18,5,5,5,5,"Chinchaga","new",0.228396473,0.146826939569653,0.344520397747535,0.19624437418412
"237",237,237,19,5,5,5,5,"Chinchaga","new",0.227762893,0.147033122949816,0.343356912159987,0.196068169555345
"238",238,238,20,5,5,5,5,"Chinchaga","new",0.227130553,0.147239545897661,0.342195304533238,0.195892084578438
"239",239,239,21,5,5,5,5,"Chinchaga","new",0.226499454,0.147446208551196,0.341035585728591,0.195716119241398
"240",240,240,22,5,5,5,5,"Chinchaga","new",0.225869596,0.147653111048102,0.339877766521919,0.195540273532095
"241",241,241,23,5,5,5,5,"Chinchaga","new",0.225240979,0.147860253525729,0.338721857603405,0.195364547438262
"242",242,242,24,5,5,5,5,"Chinchaga","new",0.224613604,0.148067636121095,0.337567869577275,0.195188940947503
"243",243,243,25,5,5,5,5,"Chinchaga","new",0.223987472,0.148275258970886,0.336415812961561,0.195013454047287
"244",244,244,26,5,5,5,5,"Chinchaga","new",0.223362582,0.148483122211454,0.335265698187847,0.194838086724953
"245",245,245,27,5,5,5,5,"Chinchaga","new",0.222738935,0.148691225978816,0.334117535601044,0.194662838967705
