"scenario","timeperiod","compartment","target","area","volume","age","hsize","avail_thlb","transition_area","transition_volume"
"cg_partner_agreement_a3_r40",30,"Dawson_Creek_TSA","1370000","5835.67182770818","1369945.33097225","97.4291725483021","2.57873257963243","176380.131058242","1473.02941437662","197337.311241028"
"cg_partner_agreement_a3_r40",35,"Dawson_Creek_TSA","1370000","5808.30405512303","1369992.06041703","101.982564709195","1.83169475090603","170093.278972927","1988.12441739887","280753.43997344"
"cg_partner_agreement_a3_r40",40,"Dawson_Creek_TSA","1370000","5989.58898595348","1369951.59066305","102.699734843875","3.43834040525458","164615.75418086","1960.15281420946","274331.869170322"
"cg_partner_agreement_a3_r40",45,"Dawson_Creek_TSA","1370000","5907.51165049225","1369975.94462054","115.673864063293","2.38014168029502","150209.591018643","1812.19321534485","256232.51219994"
"cg_partner_agreement_a3_r40",50,"Dawson_Creek_TSA","1370000","6754.52606338039","1369944.50798741","119.60056898945","3.13580597185719","135271.460779306","2491.46842087656","355475.032477986"
"cg_partner_agreement_a3_r40",55,"Dawson_Creek_TSA","1370000","6434.13228164464","1369965.82078611","119.2524998824","1.60172573603302","118391.071470931","2372.39481360316","338200.370965956"
"cg_partner_agreement_a3_r40",60,"Dawson_Creek_TSA","1370000","7472.2214682892","1369988.94050148","104.794031575317","2.96988134669682","105564.363292649","4209.26963142157","558535.178035428"
"cg_partner_agreement_a3_r40",65,"Dawson_Creek_TSA","1370000","7763.50506704319","1369942.23392275","100.257592729863","2.35614721306318","95878.8071625456","4769.72103074659","648808.628357165"
"cg_partner_agreement_a3_r40",70,"Dawson_Creek_TSA","1370000","8691.77229854404","1369989.31363009","79.2803957446147","1.58320078297706","85067.8560241833","6923.63727384596","940577.695043534"
"cg_partner_agreement_a3_r40",75,"Dawson_Creek_TSA","1370000","8699.90890493579","1369999.46209295","87.6937329108836","1.55494350400997","77464.3039074168","6667.76767398082","890207.722544625"
"cg_partner_agreement_a3_r40",80,"Dawson_Creek_TSA","1370000","7618.73347184956","1369958.58336113","142.248086325784","2.03491812816495","59182.8166463673","4155.4940244928","569438.300885824"
"cg_partner_agreement_a3_r40",85,"Dawson_Creek_TSA","1370000","7959.98465566896","1369983.60442045","113.670279865476","1.97273473498611","50095.0595559403","5191.28702691346","715823.305479154"
"cg_partner_agreement_a3_r40",90,"Dawson_Creek_TSA","1370000","7674.30665190592","1369992.74572618","119.590540277973","2.15934345861168","42754.7584447041","4653.65200942382","682409.893321785"
"cg_partner_agreement_a3_r40",95,"Dawson_Creek_TSA","1370000","8327.17705864012","1369976.71526989","91.3635334877162","2.48128041079861","38810.5823749155","6451.37663590014","934276.65885822"
